tag,timestamp,desc,backend,path,batch,cache,method,elapsed_mean_s,elapsed_min_s,elapsed_median_s,reps,bytes,throughput_MB_s,shape,dtype,hash,ok,error
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,pypi-nd2,/store1/prj_rim/data_raw/2023-06-03-11.nd2,16,cold,naive_stack,0.014812080985090384,0.014590466977097094,0.014878981979563832,3,4368896,294.95490906359913,16x2x212x322,uint16,e9a632155fb56221cfcedce7f927fbc0,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,pypi-nd2,/store1/prj_rim/data_raw/2023-06-03-11.nd2,32,warm,naive_stack,0.010453630390111357,0.010375468991696835,0.010479224962182343,5,8737792,835.861961244157,32x2x212x322,uint16,d860e56188aced9813599207c5ea1a45,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,pypi-nd2,/store1/prj_rim/data_raw/2023-06-03-11.nd2,32,cold,naive_stack,0.03473692034215977,0.0337529819807969,0.03404761501587927,3,8737792,251.5419304282726,32x2x212x322,uint16,d860e56188aced9813599207c5ea1a45,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,pypi-nd2,/store1/prj_rim/data_raw/2023-06-03-11.nd2,64,warm,naive_stack,0.021429320599418135,0.020993612008169293,0.02148416097043082,5,17475584,815.49874243211,64x2x212x322,uint16,8ffc1dd0c888fbe22f07be18fcb3fcab,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,pypi-nd2,/store1/prj_rim/data_raw/2023-06-03-11.nd2,64,cold,naive_stack,0.07647672900930047,0.07006886403542012,0.07273409800836816,3,17475584,228.50851790320115,64x2x212x322,uint16,8ffc1dd0c888fbe22f07be18fcb3fcab,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,pypi-nd2,/store1/prj_rim/data_raw/2023-06-03-11.nd2,128,warm,naive_stack,0.04252369260648266,0.04222051601391286,0.042328908981289715,5,34951168,821.9222240044074,128x2x212x322,uint16,a7fbf8e34e3bb19c3aea3969ad609543,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,pypi-nd2,/store1/prj_rim/data_raw/2023-06-03-11.nd2,128,cold,naive_stack,0.1304461176817616,0.12730009900406003,0.1290451570530422,3,34951168,267.93567046025413,128x2x212x322,uint16,a7fbf8e34e3bb19c3aea3969ad609543,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-02-03.nd2,1,warm,naive_stack,0.0001227445900440216,0.00011435197666287422,0.00011679599992930889,5,273056,2224.5868425001063,1x2x212x322,uint16,068958289b6a668e1e2f79e779da5bce,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-02-03.nd2,1,cold,naive_stack,0.00184076267760247,0.0016913069994188845,0.0018154950230382383,3,273056,148.3385138792829,1x2x212x322,uint16,068958289b6a668e1e2f79e779da5bce,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-02-03.nd2,8,warm,naive_stack,0.002516823401674628,0.002502819988876581,0.0025190040469169617,5,2184448,867.9385286017787,8x2x212x322,uint16,41c44ecbaee719c66c8b704ff27167e9,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-02-03.nd2,8,cold,naive_stack,0.009246644660985718,0.00876609398983419,0.008820125018246472,3,2184448,236.24223489595326,8x2x212x322,uint16,41c44ecbaee719c66c8b704ff27167e9,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-02-03.nd2,16,warm,naive_stack,0.005226216395385563,0.00513369299005717,0.0052425069734454155,5,4368896,835.9577310762475,16x2x212x322,uint16,b65d134ef330922bad7a0935e5d9df20,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-02-03.nd2,16,cold,naive_stack,0.019056644678736728,0.018277049995958805,0.019152890017721802,3,4368896,229.2584069049041,16x2x212x322,uint16,b65d134ef330922bad7a0935e5d9df20,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-02-03.nd2,32,warm,naive_stack,0.011242672603111714,0.011091306048911065,0.01124605000950396,5,8737792,777.1988306038174,32x2x212x322,uint16,15a623cc9771aba4f7044f8e8cd5f074,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-02-03.nd2,32,cold,naive_stack,0.03582485532388091,0.03392666298896074,0.03643065399955958,3,8737792,243.90306453450972,32x2x212x322,uint16,15a623cc9771aba4f7044f8e8cd5f074,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-02-03.nd2,64,warm,naive_stack,0.02277327700285241,0.022118385997600853,0.022810538997873664,5,17475584,767.3723899204819,64x2x212x322,uint16,223eff8249123a8fb623136cb4e21839,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-02-03.nd2,64,cold,naive_stack,0.08008909665901835,0.07376099500106648,0.07724378100829199,3,17475584,218.20178687247287,64x2x212x322,uint16,223eff8249123a8fb623136cb4e21839,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-02-03.nd2,128,warm,naive_stack,0.04489489400293678,0.04453627398470417,0.044638587976805866,5,34951168,778.5109816210655,128x2x212x322,uint16,f59f7a8b4ead52a9d1c524196351ca87,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-02-03.nd2,128,cold,naive_stack,0.15360385299815485,0.15279967797687277,0.15351710899267346,3,34951168,227.540958887404,128x2x212x322,uint16,f59f7a8b4ead52a9d1c524196351ca87,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-02-04.nd2,1,warm,naive_stack,0.00012304158881306648,0.00011800799984484911,0.00012349599273875356,5,273056,2219.2171170257407,1x2x212x322,uint16,76363fa327557646a6c89f12fc0f65a6,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-02-04.nd2,1,cold,naive_stack,0.0015043429836320381,0.0013678409741260111,0.0015101750032044947,3,273056,181.51179815439576,1x2x212x322,uint16,76363fa327557646a6c89f12fc0f65a6,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-02-04.nd2,8,warm,naive_stack,0.0024987180018797516,0.002483700984157622,0.0024933760287240148,5,2184448,874.2275032063119,8x2x212x322,uint16,4077961d3c169aadf7283b13c3cef21a,True,
